Date,Type,Description,Value
03/04/2023,POS,"4670 31MAR23 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-14.2
03/04/2023,POS,"4670 30MAR23 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-7.9
29/03/2023,POS,"4670 28MAR23 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-5.7
28/03/2023,POS,"4670 27MAR23 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-3.85
27/03/2023,POS,"4670 26MAR23 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-5.8
27/03/2023,POS,"4670 23MAR23 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-6.4
27/03/2023,POS,"4670 23MAR23 C , PRET A MANGER , WEMB PARK GB",-14.49
27/03/2023,POS,"4670 24MAR23 C , PRET A MANGER , WEMB PARK GB",-5.25
27/03/2023,POS,"4670 24MAR23 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-5.3
23/03/2023,POS,"4670 21MAR23 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-4.25
20/03/2023,POS,"4670 17MAR23 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-6.4
20/03/2023,POS,"4670 16MAR23 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-5.95
13/03/2023,POS,"4670 10MAR23 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-3.2
01/03/2023,POS,"7913 23FEB23 , PRET A MANGER , WEMB PARK GB",-5.94
01/03/2023,POS,"7913 24FEB23 C , PRET A MANGER , WEMB PARK GB",-13
27/02/2023,POS,"7913 25FEB23 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-7.2
27/02/2023,POS,"7913 24FEB23 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-6.25
24/02/2023,POS,"7913 23FEB23 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-6
20/02/2023,POS,"7913 18FEB23 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-2.8
20/02/2023,POS,"7913 17FEB23 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-11
17/02/2023,POS,"7913 16FEB23 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-6
17/02/2023,POS,"7913 16FEB23 C , PRET A MANGER , WEMB PARK GB",-7.44
14/02/2023,POS,"7913 13FEB23 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-6
13/02/2023,POS,"7913 12FEB23 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-1.65
13/02/2023,POS,"7913 10FEB23 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-5.2
10/02/2023,POS,"7913 09FEB23 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-6
10/02/2023,POS,"7913 09FEB23 C , PRET A MANGER , WEMB PARK GB",-4.45
10/02/2023,POS,"7913 09FEB23 C , PRET A MANGER , WEMB PARK GB",-5.5
10/02/2023,POS,"7913 09FEB23 C , PRET A MANGER , WEMB PARK GB",-2.4
08/02/2023,POS,"7913 07FEB23 , UBER* TRIP , LONDON GB",-8.04
08/02/2023,POS,"7913 07FEB23 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-1.65
03/02/2023,POS,"7913 02FEB23 C , PRET A MANGER , WEMB PARK GB",-4.55
03/02/2023,POS,"7913 02FEB23 C , PRET A MANGER , WEMB PARK GB",-2.4
03/02/2023,POS,"7913 02FEB23 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-6.35
01/02/2023,POS,"7913 31JAN23 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-1.65
31/01/2023,POS,"7913 30JAN23 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-5
31/01/2023,POS,"7913 30JAN23 C , PRET A MANGER , WEMB PARK GB",-2.99
30/01/2023,POS,"7913 28JAN23 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-10.45
30/01/2023,POS,"7913 27JAN23 C , PRET A MANGER , WEMB PARK GB",-5.35
